t,x_cin,v_cin,x_pot,v_pot,E_cin_total,E_pot_total
0.028,2.776,-8,2.776,-8,32,32
0.0281,2.7752,-8,2.7752,-8,32,32
0.0282,2.7744,-8,2.7744,-8,32,32
0.0283,2.7736,-8,2.7736,-8,32,32
0.0284,2.7728,-8,2.7728,-8,32,32
0.0285,2.772,-8,2.772,-8,32,32
0.0286,2.7712,-8,2.7712,-8,32,32
0.0287,2.7704,-8,2.7704,-8,32,32
0.0288,2.7696,-8,2.7696,-8,32,32
0.0289,2.7688,-8,2.7688,-8,32,32
0.029,2.768,-8,2.768,-8,32,32
0.0291,2.7672,-8,2.7672,-8,32,32
0.0292,2.7664,-8,2.7664,-8,32,32
0.0293,2.7656,-8,2.7656,-8,32,32
0.0294,2.7648,-8,2.7648,-8,32,32
0.0295,2.764,-8,2.764,-8,32,32
0.0296,2.7632,-8,2.7632,-8,32,32
0.0297,2.7624,-8,2.7624,-8,32,32
0.0298,2.7616,-8,2.7616,-8,32,32
0.0299,2.7608,-8,2.7608,-8,32,32
0.03,2.76,-8,2.76,-8,32,32
0.0301,2.7592,-8,2.7592,-8,32,32
0.0302,2.7584,-8,2.7584,-8,32,32
0.0303,2.7576,-8,2.7576,-8,32,32
0.0304,2.7568,-8,2.7568,-8,32,32
0.0305,2.756,-8,2.756,-8,32,32
0.0306,2.7552,-8,2.7552,-8,32,32
0.0307,2.7544,-8,2.7544,-8,32,32
0.0308,2.7536,-8,2.7536,-8,32,32
0.0309,2.7528,-8,2.7528,-8,32,32
0.031,2.752,-8,2.752,-8,32,32
0.0311,2.7512,-8,2.7512,-8,32,32
0.0312,2.7504,-8,2.7504,-8,32,32
0.0313,2.7496,-8,2.7496,-8,32,32
0.0314,2.7488,-8,2.7488,-8,32,32
0.0315,2.748,-8,2.748,-8,32,32
0.0316,2.7472,-8,2.7472,-8,32,32
0.0317,2.7464,-8,2.7464,-8,32,32
0.0318,2.7456,-8,2.7456,-8,32,32
0.0319,2.7448,-8,2.7448,-8,32,32
0.032,2.744,-8,2.744,-8,32,32
0.0321,2.7432,-8,2.7432,-8,32,32
0.0322,2.7424,-8,2.7424,-8,32,32
0.0323,2.7416,-8,2.7416,-8,32,32
0.0324,2.7408,-8,2.7408,-8,32,32
0.0325,2.74,-8,2.74,-8,32,32
0.0326,2.7392,-8,2.7392,-8,32,32
0.0327,2.7384,-8,2.7384,-8,32,32
0.0328,2.7376,-8,2.7376,-8,32,32
0.0329,2.7368,-8,2.7368,-8,32,32
0.033,2.736,-8,2.736,-8,32,32
0.0331,2.7352,-8,2.7352,-8,32,32
0.0332,2.7344,-8,2.7344,-8,32,32
0.0333,2.7336,-8,2.7336,-8,32,32
0.0334,2.7328,-8,2.7328,-8,32,32
0.0335,2.732,-8,2.732,-8,32,32
0.0336,2.7312,-8,2.7312,-8,32,32
0.0337,2.7304,-8,2.7304,-8,32,32
0.0338,2.7296,-8,2.7296,-8,32,32
0.0339,2.7288,-8,2.7288,-8,32,32
0.034,2.728,-8,2.728,-8,32,32
0.0341,2.7272,-8,2.7272,-8,32,32
0.0342,2.7264,-8,2.7264,-8,32,32
0.0343,2.7256,-8,2.7256,-8,32,32
0.0344,2.7248,-8,2.7248,-8,32,32
0.0345,2.724,-8,2.724,-8,32,32
0.0346,2.7232,-8,2.7232,-8,32,32
0.0347,2.7224,-8,2.7224,-8,32,32
0.0348,2.7216,-8,2.7216,-8,32,32
0.0349,2.7208,-8,2.7208,-8,32,32
0.035,2.72,-8,2.72,-8,32,32
0.0351,2.7192,-8,2.7192,-8,32,32
0.0352,2.7184,-8,2.7184,-8,32,32
0.0353,2.7176,-8,2.7176,-8,32,32
0.0354,2.7168,-8,2.7168,-8,32,32
0.0355,2.716,-8,2.716,-8,32,32
0.0356,2.7152,-8,2.7152,-8,32,32
0.0357,2.7144,-8,2.7144,-8,32,32
0.0358,2.7136,-8,2.7136,-8,32,32
0.0359,2.7128,-8,2.7128,-8,32,32
0.036,2.712,-8,2.712,-8,32,32
0.0361,2.7112,-8,2.7112,-8,32,32
0.0362,2.7104,-8,2.7104,-8,32,32
